"estacion_id","estacion","lat","lon","coords_x","coords_y","FECHA_HORA","MP10"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 01:00:00","134.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 02:00:00","106.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 03:00:00","107.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 04:00:00","99.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 05:00:00","118.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 06:00:00","107.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 07:00:00","119.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 08:00:00","127.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 09:00:00","156.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 10:00:00","146.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 11:00:00","174.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 12:00:00","168.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 13:00:00","170.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 14:00:00","159.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 15:00:00","144.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 16:00:00","158.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 17:00:00","250.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 18:00:00","268.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 19:00:00","343.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 20:00:00","393.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 21:00:00","298.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 22:00:00","271.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-15 23:00:00","216.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 00:00:00","178.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 01:00:00","154.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 02:00:00","99.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 03:00:00","91.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 04:00:00","73.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 05:00:00","96.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 06:00:00","74.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 07:00:00","144.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 08:00:00","219.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 09:00:00","142.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 10:00:00","151.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 11:00:00","61.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 12:00:00","81.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 13:00:00","55.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 14:00:00","36.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 15:00:00","101.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 16:00:00","104.0"
"11","Estación Independencia","-33.42226117034207","-70.65113919456027","-7864848.839103142","-3951487.1352959503","2018-06-16 17:00:00","268.0"
