"FECHA_HORA","MP10"
"2018-06-20 12:00:00","122.45833333333333"
"2018-06-20 13:00:00","118.875"
"2018-06-20 14:00:00","116.54166666666667"
"2018-06-20 15:00:00","113.20833333333333"
"2018-06-20 16:00:00","110.5"
"2018-06-20 17:00:00","108.45833333333333"
"2018-06-20 18:00:00","106.375"
"2018-06-20 19:00:00","103.58333333333333"
"2018-06-20 20:00:00","103.625"
"2018-06-20 21:00:00","98.79166666666667"
"2018-06-20 22:00:00","96.125"
"2018-06-20 23:00:00","92.75"
"2018-06-21 00:00:00","92.45833333333333"
"2018-06-21 01:00:00","91.54166666666667"
"2018-06-21 02:00:00","92.41666666666667"
"2018-06-21 03:00:00","91.875"
"2018-06-21 04:00:00","90.20833333333333"
"2018-06-21 05:00:00","87.83333333333333"
"2018-06-21 06:00:00","91.0"
"2018-06-21 07:00:00","100.33333333333333"
"2018-06-21 08:00:00","101.08333333333333"
"2018-06-21 09:00:00","99.0"
"2018-06-21 10:00:00","102.5"
"2018-06-21 11:00:00","104.125"
"2018-06-21 12:00:00","104.58333333333333"
"2018-06-21 13:00:00",""
"2018-06-21 14:00:00",""
"2018-06-21 15:00:00",""
"2018-06-21 16:00:00",""
"2018-06-21 17:00:00",""
"2018-06-21 18:00:00",""
"2018-06-21 19:00:00",""
"2018-06-21 20:00:00",""
"2018-06-21 21:00:00",""
"2018-06-21 22:00:00",""
"2018-06-21 23:00:00",""
